,date,trip_count,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,wind_speed_max_ms,humidity_percent,data_source,month,trip_count_7day_mean,trip_count_detrended,bike_rides_daily,avgTemp,start_station_name,season
50,2024-02-20,1903,2.7,-6.1,-2.4,0.0,3.3,52,Open-Meteo Historical API,2,1692.142857142857,210.8571428571429,1903,-2.4,Columbus Dr & Randolph St,Winter
61,2024-03-02,763,10.6,1.9,6.9,27.6,7.3,91,Open-Meteo Historical API,3,1933.571428571429,-1170.571428571429,763,6.9,Millennium Park,Spring
74,2024-03-15,3165,21.2,8.1,14.5,0.0,6.2,64,Open-Meteo Historical API,3,2723.714285714286,441.2857142857142,3165,14.5,Clinton St & Madison St,Spring
229,2024-08-17,3265,26.6,20.8,23.4,2.8,6.5,84,Open-Meteo Historical API,8,3575.5714285714284,-310.57142857142844,3265,23.4,Streeter Dr & Grand Ave,Summer
306,2024-11-02,3640,16.0,8.0,12.2,0.0,5.5,50,Open-Meteo Historical API,11,3763.857142857142,-123.85714285714266,3640,12.2,Theater on the Lake,Fall
211,2024-07-30,4058,30.5,21.6,25.9,0.1,8.9,76,Open-Meteo Historical API,7,3736.571428571429,321.42857142857156,4058,25.9,Columbus Dr & Randolph St,Summer
208,2024-07-27,3806,30.0,17.3,24.3,0.0,3.6,56,Open-Meteo Historical API,7,3847.571428571429,-41.57142857142844,3806,24.3,Buckingham Fountain,Summer
339,2024-12-05,2459,4.9,0.4,2.4,5.6,7.7,68,Open-Meteo Historical API,12,2354.8571428571427,104.14285714285734,2459,2.4,Michigan Ave & Oak St,Winter
110,2024-04-20,3313,19.9,8.5,12.7,2.2,7.3,67,Open-Meteo Historical API,4,2720.1428571428573,592.8571428571427,3313,12.7,Michigan Ave & Oak St,Spring
354,2024-12-20,1935,2.8,-0.5,1.2,1.7,4.2,80,Open-Meteo Historical API,12,1776.571428571429,158.42857142857133,1935,1.2,Canal St & Adams St,Winter
64,2024-03-05,1308,8.7,3.8,6.6,18.8,6.1,95,Open-Meteo Historical API,3,1981.571428571429,-673.5714285714287,1308,6.6,Clinton St & Madison St,Spring
239,2024-08-27,3891,30.4,17.2,23.4,0.0,5.7,75,Open-Meteo Historical API,8,3561.0,330.0,3891,23.4,Navy Pier,Summer
90,2024-03-31,1846,15.8,3.9,10.2,0.3,5.8,63,Open-Meteo Historical API,3,1643.7142857142858,202.28571428571425,1846,10.2,Clinton St & Madison St,Spring
221,2024-08-09,2631,28.6,22.3,25.0,17.2,12.7,88,Open-Meteo Historical API,8,3016.8571428571427,-385.85714285714266,2631,25.0,Columbus Dr & Randolph St,Summer
52,2024-02-22,2005,6.4,-4.7,1.3,0.1,5.6,82,Open-Meteo Historical API,2,1847.857142857143,157.1428571428571,2005,1.3,Clinton St & Madison St,Winter
157,2024-06-06,3525,27.8,19.4,23.2,21.3,10.0,85,Open-Meteo Historical API,6,3810.0,-285.0,3525,23.2,Columbus Dr & Randolph St,Summer
120,2024-04-30,2980,21.3,10.7,14.8,7.7,4.7,83,Open-Meteo Historical API,4,3161.1428571428573,-181.14285714285737,2980,14.8,Michigan Ave & Oak St,Spring
62,2024-03-03,2982,18.8,6.5,11.5,0.0,4.3,81,Open-Meteo Historical API,3,1868.857142857143,1113.142857142857,2982,11.5,Clinton St & Madison St,Spring
267,2024-09-24,3968,20.0,13.9,17.2,0.0,4.8,68,Open-Meteo Historical API,9,3956.428571428571,11.571428571428442,3968,17.2,Clinton St & Madison St,Fall
77,2024-03-18,2272,9.1,2.4,6.6,0.0,5.6,45,Open-Meteo Historical API,3,2427.4285714285716,-155.42857142857156,2272,6.6,Millennium Park,Spring
166,2024-06-15,3902,27.3,17.3,21.8,0.0,6.3,62,Open-Meteo Historical API,6,3620.714285714286,281.2857142857142,3902,21.8,Buckingham Fountain,Summer
249,2024-09-06,4378,26.4,14.6,20.2,0.1,4.8,77,Open-Meteo Historical API,9,3805.142857142858,572.8571428571427,4378,20.2,Canal St & Adams St,Fall
185,2024-07-04,4582,29.9,19.2,24.1,0.9,5.4,69,Open-Meteo Historical API,7,3401.4285714285716,1180.5714285714284,4582,24.1,Navy Pier,Summer
346,2024-12-12,2313,5.4,-1.5,1.8,0.1,7.2,55,Open-Meteo Historical API,12,2043.571428571429,269.42857142857133,2313,1.8,Columbus Dr & Randolph St,Winter
100,2024-04-10,2985,16.4,8.4,12.4,0.2,4.4,78,Open-Meteo Historical API,4,2581.1428571428573,403.85714285714266,2985,12.4,Streeter Dr & Grand Ave,Spring
138,2024-05-18,3163,22.1,13.0,16.6,2.0,4.9,79,Open-Meteo Historical API,5,3194.714285714286,-31.71428571428578,3163,16.6,Canal St & Adams St,Spring
82,2024-03-23,498,10.2,2.0,5.9,63.2,10.9,88,Open-Meteo Historical API,3,1945.142857142857,-1447.142857142857,498,5.9,Millennium Park,Spring
42,2024-02-12,2109,9.1,-2.6,3.6,0.0,3.0,74,Open-Meteo Historical API,2,1985.142857142857,123.85714285714288,2109,3.6,Theater on the Lake,Winter
280,2024-10-07,3830,23.3,14.8,18.5,8.8,5.2,67,Open-Meteo Historical API,10,3983.714285714286,-153.71428571428578,3830,18.5,Navy Pier,Fall
35,2024-02-05,1919,6.7,-3.3,0.8,0.0,6.2,52,Open-Meteo Historical API,2,2067.1428571428573,-148.14285714285734,1919,0.8,Columbus Dr & Randolph St,Winter
65,2024-03-06,1324,9.9,3.5,7.3,32.4,6.9,95,Open-Meteo Historical API,3,2020.857142857143,-696.8571428571429,1324,7.3,Navy Pier,Spring
358,2024-12-24,610,1.7,-3.5,-1.5,1.9,3.0,80,Open-Meteo Historical API,12,830.2857142857143,-220.2857142857143,610,-1.5,Millennium Park,Winter
139,2024-05-19,3613,23.6,12.2,16.8,0.0,5.1,80,Open-Meteo Historical API,5,3504.5714285714284,108.42857142857156,3613,16.8,Navy Pier,Spring
4,2024-01-05,1930,3.0,-5.1,-1.7,0.0,6.0,60,Open-Meteo Historical API,1,1744.0,186.0,1930,-1.7,Streeter Dr & Grand Ave,Winter
9,2024-01-10,2130,13.7,5.0,9.3,36.4,13.4,69,Open-Meteo Historical API,1,1835.857142857143,294.1428571428571,2130,9.3,Navy Pier,Winter
234,2024-08-22,4103,24.7,12.3,19.1,0.0,5.1,62,Open-Meteo Historical API,8,3730.857142857142,372.14285714285734,4103,19.1,Navy Pier,Summer
259,2024-09-16,3840,25.8,12.2,18.8,0.0,3.7,74,Open-Meteo Historical API,9,4181.0,-341.0,3840,18.8,Streeter Dr & Grand Ave,Fall
89,2024-03-30,2044,14.4,2.7,8.1,0.0,6.9,53,Open-Meteo Historical API,3,1862.7142857142856,181.28571428571425,2044,8.1,Shedd Aquarium,Spring
71,2024-03-12,2790,17.1,2.8,9.1,0.0,6.6,51,Open-Meteo Historical API,3,2344.285714285714,445.7142857142858,2790,9.1,Streeter Dr & Grand Ave,Spring
252,2024-09-09,3978,25.2,10.0,18.0,0.0,5.7,53,Open-Meteo Historical API,9,3971.0,7.0,3978,18.0,Shedd Aquarium,Fall
88,2024-03-29,2334,12.9,3.8,7.4,0.5,9.2,46,Open-Meteo Historical API,3,2078.714285714286,255.28571428571425,2334,7.4,Clinton St & Madison St,Spring
310,2024-11-06,3682,27.1,16.6,21.1,0.0,6.5,65,Open-Meteo Historical API,11,3393.714285714286,288.2857142857142,3682,21.1,Michigan Ave & Oak St,Fall
43,2024-02-13,801,3.6,-1.7,1.1,24.9,6.9,80,Open-Meteo Historical API,2,1903.857142857143,-1102.857142857143,801,1.1,Shedd Aquarium,Winter
215,2024-08-03,2999,33.3,23.5,27.0,8.4,5.6,80,Open-Meteo Historical API,8,3315.8571428571427,-316.85714285714266,2999,27.0,Millennium Park,Summer
